Case,Trainer,Steam_Flow_Error,Reformer_Duty_Error,C2H6_Error,CH4_Error,H2_Error,O2_Error,Time_Cost(s)
1,ALAMO,1.836963435788421e-10,0.00017449956251334802,3.972715032163994e-06,0.0001233844902799111,6.530113641606272e-05,1.1873530270153094e-20,0.054164886474609375
2,ALAMO,1.3791735906895702e-09,0.00021832383970171065,2.066516045532915e-06,6.486918738034253e-05,2.0229633503343614e-05,5.855342839836572e-21,0.027726173400878906
3,ALAMO,1.0124447591881572e-10,0.00026412330182254266,2.989883555701376e-06,8.456116312030582e-05,1.374255706676486e-05,9.35534283983657e-21,0.030319929122924805
4,ALAMO,2.13141310916603e-10,4.273866589512838e-05,2.3247916950233302e-05,0.0007018668636099498,0.00024017691546557307,1.6010463849656387e-20,0.032056570053100586
5,ALAMO,1.6063942228872899e-10,7.047750401663982e-05,4.527443188975626e-05,0.0013823645553655284,0.0001235472829798634,9.259315565253364e-21,0.023396968841552734
6,ALAMO,1.3804898967232082e-09,0.0004615555782430107,6.94059250926412e-05,0.002102066252920365,0.0009169106442583896,1.651485133099827e-21,0.024923086166381836
7,ALAMO,1.8332741236596813e-10,0.0001571722608772844,1.3087837059098419e-07,6.384257359853818e-06,0.0007246894601619092,2.3884330968506285e-20,0.035103559494018555
8,ALAMO,3.2561393281752193e-10,0.0008869181898120749,3.924405755837551e-06,0.00011785392807778239,0.00019669908512934264,1.2003192096216412e-20,0.025860071182250977
9,ALAMO,6.077861040602296e-10,0.0001729250346453449,1.0994474029080159e-05,0.00034157035418432014,0.00013147905921939707,1.1377502995569886e-20,0.03171992301940918
10,ALAMO,2.2207152781241086e-10,0.00016283466827686797,9.564959900966539e-06,0.00029983582784121054,1.55909275095234e-05,1.4980916961959743e-20,0.0259091854095459
11,ALAMO,4.640812856631795e-10,0.00010386005182000541,3.476712387926709e-05,0.001066104983641479,0.00022454648970776647,1.7843983422613137e-20,0.03485703468322754
12,ALAMO,9.636323490127436e-10,6.649002339885272e-07,2.9925848404599486e-05,0.0009009234308534342,3.982392046786298e-05,2.9210463849656386e-20,0.03020954132080078
13,ALAMO,1.817337882205492e-11,0.00032174454453548685,3.1546504961107134e-05,0.0009542101267197567,0.0003171967196081149,7.611022568526634e-21,0.04070639610290527
14,ALAMO,3.217144900038194e-10,0.0001638359990443327,2.68744967054002e-05,0.000822897081966964,0.00027484936831495554,1.1343983422613135e-20,0.024556398391723633
15,ALAMO,5.704149358832609e-10,0.00034256956103608443,2.4089430600652932e-05,0.0007290334721884867,0.0001505766814390297,1.103318272425995e-20,0.03997802734375
16,ALAMO,6.973281649904769e-10,0.0002719170014705735,2.2341848758455386e-05,0.0006731952948485775,0.0004350606601507545,5.628445503232622e-22,0.026021480560302734
17,ALAMO,9.650105434052055e-10,0.0003148615228178068,2.4653793179048398e-05,0.0007442561141604159,0.0002806252602651216,6.318409300489968e-21,0.029517412185668945
18,ALAMO,4.206582096385939e-10,3.289719655681503e-05,1.902353568932749e-05,0.0005760003942813716,0.00021179601049925445,2.6825237273426368e-20,0.018405675888061523
19,ALAMO,1.1538389261669563e-09,0.00034368729333211903,4.960596050613414e-06,0.0001419550541454928,7.360465480443779e-05,9.907164821633199e-21,0.03210568428039551
