ALAMO,NDCT,PLY,RBF,KRG,Keras
0.302,0.021,20.1,1323.5,2926.8,41.1
0.298,0.019,19.8,1324.2,2928.3,43.8
0.307,0.022,20.4,1425.0,3151.2,44.5
0.321,0.02,29.6,1325.4,2931.0,42.0
0.295,0.023,19.9,1323.8,2927.5,46.3
0.319,0.018,20.3,1324.7,2929.4,43.9
0.299,0.021,19.5,1325.1,2930.3,44.6
0.316,0.02,19.7,1323.6,2927.0,43.7
0.283,0.024,27.0,1424.4,3149.9,44.2
0.305,0.019,20.7,1325.3,2930.8,40.4
0.308,0.022,19.9,1223.9,2706.5,34.1
0.297,0.02,25.2,1324.5,2929.0,43.9
0.304,0.021,20.6,1324.8,2929.7,45.7
0.312,0.019,22.1,1325.2,2930.5,44.0
0.296,0.023,15.8,1323.7,2927.2,44.5
0.35,0.018,20.4,1424.6,3150.4,43.8
0.301,0.022,21.3,1315.0,2908.0,44.3
0.315,0.02,18.5,1353.8,2993.8,44.6
0.294,0.021,28.0,1324.9,2929.9,43.7
0.316,0.019,21.2,1325.1,2930.3,42.2
